check	command_json	exit	log
pin-inputs	"traitor update disko nixos-anywhere sops-nix deploy-rs"	0	/tmp/srv-hatchi-implementation/pin-inputs.log
foundation-eval	"nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.drvPath"	1	/tmp/srv-hatchi-implementation/foundation-eval.log
foundation-eval-2	"nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi.config.system.build.toplevel.drvPath && nix eval --raw .#nixosConfigurations.srv-hatchi-bootstrap.config.system.build.installTest.drvPath"	0	/tmp/srv-hatchi-implementation/foundation-eval-2.log
input-and-builder-facts	"nix eval --impure --json --expr 'let f = builtins.getFlake (toString ./.); in { pkgs = f.inputs.nixpkgs.outPath; rev = f.inputs.nixpkgs.rev; }'; nix config show | grep -E \"^(builders|system|extra-platforms|system-features) =\"; test -f /etc/nix/machines"	1	/tmp/srv-hatchi-implementation/input-and-builder-facts.log
input-facts-2	"nix eval --impure --json --expr 'let f = builtins.getFlake (toString ./.); in { pkgs = f.inputs.nixpkgs.outPath; rev = f.inputs.nixpkgs.rev; }'; nix config show | grep -E \"^(builders|system|extra-platforms|system-features) =\"; test -f /etc/nix/machines"	1	/tmp/srv-hatchi-implementation/input-facts-2.log
install-vm-attempt	"./bin/traitor verify srv-hatchi install-vm"	1	/tmp/srv-hatchi-implementation/install-vm-attempt.log
install-vm-attempt-2	"./bin/traitor verify srv-hatchi install-vm"	1	/tmp/srv-hatchi-implementation/install-vm-attempt-2.log
services-eval	"nix eval --raw .#nixosConfigurations.srv-hatchi.config.system.build.toplevel.drvPath"	0	/tmp/srv-hatchi-implementation/services-eval.log
fixture-secrets	"nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#sops path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#age path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#apacheHttpd --command python3 /tmp/srv-hatchi-implementation/make-fixtures.py"	0	/tmp/srv-hatchi-implementation/fixture-secrets.log
checks-eval	"nix eval --raw .#nixosConfigurations.srv-hatchi.config.system.build.toplevel.drvPath && nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.drvPath && nix eval --raw .#checks.aarch64-darwin.srv-hatchi-policy.drvPath && nix eval --raw .#checks.x86_64-linux.deploy-activate.drvPath"	1	/tmp/srv-hatchi-implementation/checks-eval.log
checks-eval-2	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.drvPath && nix eval --raw .#checks.aarch64-darwin.srv-hatchi-policy.drvPath && nix eval --raw .#checks.x86_64-linux.deploy-activate.drvPath"	1	/tmp/srv-hatchi-implementation/checks-eval-2.log
checks-eval-3	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.drvPath && nix eval --raw .#checks.aarch64-darwin.srv-hatchi-policy.drvPath && nix eval --raw .#checks.x86_64-linux.deploy-activate.drvPath"	1	/tmp/srv-hatchi-implementation/checks-eval-3.log
checks-eval-4	"nix eval --raw .#checks.x86_64-linux.srv-hatchi-services.drvPath && nix eval --raw .#checks.aarch64-darwin.srv-hatchi-policy.drvPath && nix eval --raw .#checks.x86_64-linux.deploy-activate.drvPath"	1	/tmp/srv-hatchi-implementation/checks-eval-4.log
policy-local	"./bin/traitor verify srv-hatchi policy"	0	/tmp/srv-hatchi-implementation/policy-local.log
format-first	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	0	/tmp/srv-hatchi-implementation/format-first.log
traitor-check	"traitor check --print-build-logs"	0	/tmp/srv-hatchi-implementation/traitor-check.log
all-output-eval	"traitor check --all-systems --no-build --print-build-logs"	0	/tmp/srv-hatchi-implementation/all-output-eval.log
static-syntax	"python3 -c 'import ast, pathlib; [ast.parse(p.read_text(), filename=str(p)) for d in [\"tests/srv-hatchi\", \"hosts/srv-hatchi\"] for p in pathlib.Path(d).rglob(\"*.py\")]' && nix shell path:/nix/store/xns837pvam002diia4wv25crg9k0mfa2-source#actionlint --command actionlint .github/workflows/nix-ci.yml"	0	/tmp/srv-hatchi-implementation/static-syntax.log
format-second	"nix fmt -- flake.nix hosts/srv-hatchi tests/srv-hatchi bin/traitor"	0	/tmp/srv-hatchi-implementation/format-second.log
